setting,seed,collapse,ci_peak,t_peak,perceptual_score
main,42,0,0.3204622268676758,20,0.542458
main,43,1,0.5712888836860657,0,0.438619
main,44,0,-0.09946666657924652,0,0.639368
main,45,0,0.0,0,0.691594
main,46,0,-0.34702223539352417,0,0.562625
main,47,0,0.40826666355133057,0,0.731537
main,48,0,0.00568888895213604,0,0.475087
main,49,1,0.1738666594028473,0,0.269926
main,50,0,-0.06497777998447418,0,0.599169
main,51,0,0.851288914680481,0,0.484316
explicit,42,1,0.6206222176551819,0,0.318848
explicit,43,0,-0.9467555284500122,0,0.456058
explicit,44,0,0.341481477022171,0,0.447075
explicit,45,0,0.0,0,0.439029
explicit,46,1,-0.862933337688446,0,0.126562
explicit,47,0,-0.14613333344459534,0,0.588563
explicit,48,0,0.4574222266674042,0,0.564905
explicit,49,0,-0.46328890323638916,0,0.510677
explicit,50,0,0.0,0,0.47746
explicit,51,0,0.1632888913154602,19,0.529456
stress,42,0,-0.15039999783039093,16,0.372016
stress,43,1,0.0,0,0.279289
stress,44,0,0.0,0,0.499164
stress,45,0,0.0,0,0.418333
stress,46,0,-0.6722598194789429,20,0.488768
stress,47,1,0.03573925793170929,20,0.31627
stress,48,0,0.0,0,0.41935
stress,49,0,0.0,0,0.539528
stress,50,0,-0.18290294706821442,0,0.574621
stress,51,0,-0.005333333276212215,0,0.461748
